ID,Name,Molecular Formula,SMILES
L7426,22:4 cholesteryl-d7 ester,C49H73H7O2,[H]C([H])([H])C([H])(CCC[C@@H](C)[C@H]3CCC4[C@@H]2CC=C1C[C@@H](OC(=O)/C=C\C/C=C\C=C/C\C=C/CCCCCCCCCCC)CC[C@]1(C)[C@H]2CC[C@]34C)C([H])([H])[H]
L7427,C16:1 Ceramide-d7 (d18:1-d7/16:1),C34H58H7NO3,OC[C@]([H])(NC(\C=C/CCCCCCCCCCCCC)=O)[C@@](O)([H])/C=C/CCCCCCCCCCC(C(C([H])([H])[H])([H])[H])([H])[H]
L7428,C18:1 Ceramide-d7 (d18:1-d7/18:1),C36H62H7NO3,OC[C@]([H])(NC(\C=C/CCCCCCCCCCCCCCC)=O)[C@@](O)([H])/C=C/CCCCCCCCCCC(C(C([H])([H])[H])([H])[H])([H])[H]
L7429,C20:1 Ceramide-d7 (d18:1-d7/20:1),C38H66H7NO3,OC[C@]([H])(NC(\C=C/CCCCCCCCCCCCCCCCC)=O)[C@@](O)([H])/C=C/CCCCCCCCCCC(C(C([H])([H])[H])([H])[H])([H])[H]
L7430,C22:1 Ceramide-d7 (d18:1-d7/22:1),C40H70H7NO3,OC[C@]([H])(NC(\C=C/CCCCCCCCCCCCCCCCCCC)=O)[C@@](O)([H])/C=C/CCCCCCCCCCC(C(C([H])([H])[H])([H])[H])([H])[H]
L7431,C24:1 Ceramide-d7 (d18:1-d7/24:1),C42H74H7NO3,OC[C@]([H])(NC(\C=C/CCCCCCCCCCCCCCCCCCCCC)=O)[C@@](O)([H])/C=C/CCCCCCCCCCC(C(C([H])([H])[H])([H])[H])([H])[H]
L7432,16:1 SM (d18:1/16:1)-d9,C39H68H9N2O6P,[H][C@](/C=C/CCCCCCCCCCCCC)(O)[C@@]([H])(NC(CCCCCCC/C=C\CCCCCC)=O)COP([O-])(OCC[N+](C([H])([H])([H]))(C([H])([H])([H]))C([H])([H])([H]))=O
L7433,18:1 SM (d18:1/18:1)-d9,C41H72H9N2O6P,[H][C@](/C=C/CCCCCCCCCCCCCCC)(O)[C@@]([H])(NC(CCCCCCC/C=C\CCCCCC)=O)COP([O-])(OCC[N+](C([H])([H])([H]))(C([H])([H])([H]))C([H])([H])([H]))=O
L7434,20:1 SM (d18:1/20:1)-d9,C43H76H9N2O6P,[H][C@](/C=C/CCCCCCCCCCCCCCCCC)(O)[C@@]([H])(NC(CCCCCCC/C=C\CCCCCC)=O)COP([O-])(OCC[N+](C([H])([H])([H]))(C([H])([H])([H]))C([H])([H])([H]))=O
L7435,22:1 SM (d18:1/22:1)-d9,C45H80H9N2O6P,[H][C@](/C=C/CCCCCCCCCCCCCCCCCCC)(O)[C@@]([H])(NC(CCCCCCC/C=C\CCCCCC)=O)COP([O-])(OCC[N+](C([H])([H])([H]))(C([H])([H])([H]))C([H])([H])([H]))=O
